mu_r,CV_r,s,alpha,phi,strategy
340.625,0.446502,1.856,1.638484,0.008694,3
240.625,0.020576,0.716,1.924198,0.013149,3
440.625,0.187243,1.016,0.250729,0.017603,0
190.625,0.353909,1.316,0.536443,0.022058,0
390.625,0.076132,1.616,0.822157,0.026512,0
290.625,0.242798,1.916,1.107872,0.030967,1
490.625,0.409465,0.776,1.393586,0.035421,1
109.375,0.131687,1.076,1.6793,0.039876,1
309.375,0.298354,1.376,1.965015,0.044331,2
209.375,0.465021,1.676,0.011662,0.048785,2
409.375,0.039095,1.976,0.297376,0.004645,2
159.375,0.205761,0.548,0.58309,0.009099,2
359.375,0.372428,0.848,0.868805,0.013554,3
259.375,0.09465,1.148,1.154519,0.018008,3
459.375,0.261317,1.448,1.440233,0.022463,3
134.375,0.427984,1.748,1.725948,0.026917,0
334.375,0.150206,0.608,0.052478,0.031372,0
234.375,0.316872,0.908,0.338192,0.035826,0
434.375,0.483539,1.208,0.623907,0.040281,1
184.375,0.00823,1.508,0.909621,0.044736,1
384.375,0.174897,1.808,1.195335,0.04919,1
284.375,0.341564,0.668,1.48105,0.00505,2
484.375,0.063786,0.968,1.766764,0.009504,2
121.875,0.230453,1.268,0.093294,0.013959,2
321.875,0.397119,1.568,0.379009,0.018413,2
221.875,0.119342,1.868,0.664723,0.022868,3
421.875,0.286008,0.728,0.950437,0.027322,3
171.875,0.452675,1.028,1.236152,0.031777,3
371.875,0.026749,1.328,1.521866,0.036231,0
271.875,0.193416,1.628,1.80758,0.040686,0
471.875,0.360082,1.928,0.134111,0.04514,0
146.875,0.082305,0.788,0.419825,0.049595,1
346.875,0.248971,1.088,0.705539,0.001037,1
246.875,0.415638,1.388,0.991254,0.005491,1
446.875,0.13786,1.688,1.276968,0.009946,2
196.875,0.304527,1.988,1.562682,0.0144,2
396.875,0.471193,0.5024,1.848397,0.018855,2
296.875,0.045267,0.8024,0.174927,0.02331,2
496.875,0.211934,1.1024,0.460641,0.027764,3
101.5625,0.378601,1.4024,0.746356,0.032219,3
301.5625,0.100823,1.7024,1.03207,0.036673,3
201.5625,0.26749,0.5624,1.317784,0.041128,0
401.5625,0.434156,0.8624,1.603499,0.045582,0
151.5625,0.156379,1.1624,1.889213,0.001442,0
351.5625,0.323045,1.4624,0.215743,0.005896,1
251.5625,0.489712,1.7624,0.501458,0.010351,1
451.5625,0.014403,0.6224,0.787172,0.014805,1
126.5625,0.18107,0.9224,1.072886,0.01926,2
326.5625,0.347737,1.2224,1.358601,0.023715,2
226.5625,0.069959,1.5224,1.644315,0.028169,2
426.5625,0.236626,1.8224,1.930029,0.032624,3
176.5625,0.403292,0.6824,0.25656,0.037078,3
376.5625,0.125514,0.9824,0.542274,0.041533,3
276.5625,0.292181,1.2824,0.827988,0.045987,3
476.5625,0.458848,1.5824,1.113703,0.001847,0
114.0625,0.032922,1.8824,1.399417,0.006301,0
314.0625,0.199588,0.7424,1.685131,0.010756,0
214.0625,0.366255,1.0424,1.970845,0.01521,1
414.0625,0.088477,1.3424,0.017493,0.019665,1
164.0625,0.255144,1.6424,0.303207,0.024119,1
364.0625,0.421811,1.9424,0.588921,0.028574,2
264.0625,0.144033,0.5144,0.874636,0.033029,2
464.0625,0.3107,0.8144,1.16035,0.037483,2
139.0625,0.477366,1.1144,1.446064,0.041938,3
339.0625,0.05144,1.4144,1.731778,0.046392,3
239.0625,0.218107,1.7144,0.058309,0.002252,3
439.0625,0.384774,0.5744,0.344023,0.006706,3
189.0625,0.106996,0.8744,0.629738,0.011161,0
389.0625,0.273663,1.1744,0.915452,0.015615,0
289.0625,0.440329,1.4744,1.201166,0.02007,0
489.0625,0.162551,1.7744,1.48688,0.024524,1
107.8125,0.329218,0.6344,1.772595,0.028979,1
307.8125,0.495885,0.9344,0.099125,0.033434,1
207.8125,0.004115,1.2344,0.38484,0.037888,2
407.8125,0.170782,1.5344,0.670554,0.042343,2
157.8125,0.337449,1.8344,0.956268,0.046797,2
357.8125,0.059671,0.6944,1.241983,0.002657,3
257.8125,0.226337,0.9944,1.527697,0.007111,3
457.8125,0.393004,1.2944,1.813411,0.011566,3
132.8125,0.115226,1.5944,0.139942,0.01602,3
332.8125,0.281893,1.8944,0.425656,0.020475,0
232.8125,0.44856,0.7544,0.71137,0.024929,0
432.8125,0.022634,1.0544,0.997085,0.029384,0
182.8125,0.1893,1.3544,1.282799,0.033838,0
382.8125,0.355967,1.6544,1.568513,0.038293,1
282.8125,0.078189,1.9544,1.854227,0.042748,1
482.8125,0.244856,0.5264,0.180758,0.047202,1
120.3125,0.411523,0.8264,0.466472,0.003062,2
320.3125,0.133745,1.1264,0.752187,0.007516,2
220.3125,0.300412,1.4264,1.037901,0.011971,2
420.3125,0.467078,1.7264,1.323615,0.016425,3
170.3125,0.041152,0.5864,1.609329,0.02088,3
370.3125,0.207819,0.8864,1.895044,0.025334,3
270.3125,0.374486,1.1864,0.221574,0.029789,0
470.3125,0.096708,1.4864,0.507289,0.034243,0
145.3125,0.263374,1.7864,0.793003,0.038698,0
345.3125,0.430041,0.6464,1.078717,0.043153,0
245.3125,0.152263,0.9464,1.364431,0.047607,1
445.3125,0.31893,1.2464,1.650146,0.003467,1
195.3125,0.485597,1.5464,1.93586,0.007921,1
395.3125,0.010288,1.8464,0.262391,0.012376,2
295.3125,0.176955,0.7064,0.548105,0.01683,2
495.3125,0.343621,1.0064,0.833819,0.021285,2
104.6875,0.065844,1.3064,1.119534,0.025739,3
304.6875,0.23251,1.6064,1.405248,0.030194,3
204.6875,0.399177,1.9064,1.690962,0.034648,3
404.6875,0.121399,0.7664,1.976676,0.039103,0
154.6875,0.288066,1.0664,0.023324,0.043557,0
354.6875,0.454733,1.3664,0.309038,0.048012,0
254.6875,0.028807,1.6664,0.594752,0.003872,0
454.6875,0.195473,1.9664,0.880466,0.008326,1
129.6875,0.36214,0.5384,1.166181,0.012781,1
329.6875,0.084362,0.8384,1.451895,0.017235,1
229.6875,0.251029,1.1384,1.737609,0.02169,2
429.6875,0.417695,1.4384,0.06414,0.026144,2
179.6875,0.139918,1.7384,0.349854,0.030599,2
379.6875,0.306584,0.5984,0.635569,0.035053,3
279.6875,0.473251,0.8984,0.921283,0.039508,3
479.6875,0.047325,1.1984,1.206997,0.043962,3
117.1875,0.213992,1.4984,1.492711,0.048417,0
317.1875,0.380658,1.7984,1.778426,0.004276,0
217.1875,0.102881,0.6584,0.104956,0.008731,0
417.1875,0.269547,0.9584,0.390671,0.013186,0
167.1875,0.436214,1.2584,0.676385,0.01764,1
367.1875,0.158436,1.5584,0.962099,0.022095,1
267.1875,0.325103,1.8584,1.247813,0.026549,1
467.1875,0.49177,0.7184,1.533528,0.031004,2
142.1875,0.016461,1.0184,1.819242,0.035458,2
342.1875,0.183128,1.3184,0.145773,0.039913,2
242.1875,0.349794,1.6184,0.431487,0.044367,3
442.1875,0.072016,1.9184,0.717201,0.048822,3
192.1875,0.238683,0.7784,1.002915,0.004681,3
392.1875,0.40535,1.0784,1.28863,0.009136,0
292.1875,0.127572,1.3784,1.574344,0.013591,0
492.1875,0.294239,1.6784,1.860058,0.018045,0
110.9375,0.460905,1.9784,0.186589,0.0225,1
310.9375,0.034979,0.5504,0.472303,0.026954,1
210.9375,0.201646,0.8504,0.758017,0.031409,1
410.9375,0.368313,1.1504,1.043732,0.035863,1
160.9375,0.090535,1.4504,1.329446,0.040318,2
360.9375,0.257202,1.7504,1.61516,0.044772,2
260.9375,0.423868,0.6104,1.900875,0.049227,2
460.9375,0.146091,0.9104,0.227405,0.005086,3
135.9375,0.312757,1.2104,0.51312,0.009541,3
335.9375,0.479424,1.5104,0.798834,0.013995,3
235.9375,0.053498,1.8104,1.084548,0.01845,0
435.9375,0.220165,0.6704,1.370262,0.022905,0
185.9375,0.386831,0.9704,1.655977,0.027359,0
385.9375,0.109053,1.2704,1.941691,0.031814,1
285.9375,0.27572,1.5704,0.268222,0.036268,1
485.9375,0.442387,1.8704,0.553936,0.040723,1
123.4375,0.164609,0.7304,0.83965,0.045177,1
323.4375,0.331276,1.0304,1.125364,0.049632,2
223.4375,0.497942,1.3304,1.411079,0.001074,2
423.4375,0.000686,1.6304,1.696793,0.005528,2
173.4375,0.167353,1.9304,1.982507,0.009983,3
373.4375,0.334019,0.7904,0.029155,0.014437,3
273.4375,0.056241,1.0904,0.314869,0.018892,3
473.4375,0.222908,1.3904,0.600583,0.023346,0
148.4375,0.389575,1.6904,0.886297,0.027801,0
348.4375,0.111797,1.9904,1.172012,0.032255,0
248.4375,0.278464,0.5048,1.457726,0.03671,1
448.4375,0.44513,0.8048,1.74344,0.041165,1
198.4375,0.019204,1.1048,0.069971,0.045619,1
398.4375,0.185871,1.4048,0.355685,0.001479,1
298.4375,0.352538,1.7048,0.641399,0.005933,2
498.4375,0.07476,0.5648,0.927114,0.010388,2
100.78125,0.241427,0.8648,1.212828,0.014842,2
300.78125,0.408093,1.1648,1.498542,0.019297,3
200.78125,0.130316,1.4648,1.784257,0.023751,3
400.78125,0.296982,1.7648,0.110787,0.028206,3
150.78125,0.463649,0.6248,0.396501,0.03266,0
350.78125,0.037723,0.9248,0.682216,0.037115,0
250.78125,0.20439,1.2248,0.96793,0.041569,0
450.78125,0.371056,1.5248,1.253644,0.046024,1
125.78125,0.093278,1.8248,1.539359,0.001884,1
325.78125,0.259945,0.6848,1.825073,0.006338,1
225.78125,0.426612,0.9848,0.151603,0.010793,2
425.78125,0.148834,1.2848,0.437318,0.015247,2
175.78125,0.315501,1.5848,0.723032,0.019702,2
375.78125,0.482167,1.8848,1.008746,0.024156,2
275.78125,0.006859,0.7448,1.294461,0.028611,3
475.78125,0.173525,1.0448,1.580175,0.033065,3
113.28125,0.340192,1.3448,1.865889,0.03752,3
313.28125,0.062414,1.6448,0.19242,0.041974,0
213.28125,0.229081,1.9448,0.478134,0.046429,0
413.28125,0.395748,0.5168,0.763848,0.002289,0
163.28125,0.11797,0.8168,1.049563,0.006743,1
363.28125,0.284636,1.1168,1.335277,0.011198,1
263.28125,0.451303,1.4168,1.620991,0.015652,1
463.28125,0.025377,1.7168,1.906706,0.020107,2
138.28125,0.192044,0.5768,0.233236,0.024561,2
338.28125,0.358711,0.8768,0.51895,0.029016,2
238.28125,0.080933,1.1768,0.804665,0.03347,2
438.28125,0.247599,1.4768,1.090379,0.037925,3
188.28125,0.414266,1.7768,1.376093,0.042379,3
388.28125,0.136488,0.6368,1.661808,0.046834,3
288.28125,0.303155,0.9368,1.947522,0.002693,0
488.28125,0.469822,1.2368,0.274052,0.007148,0
107.03125,0.043896,1.5368,0.559767,0.011603,0
307.03125,0.210562,1.8368,0.845481,0.016057,1
207.03125,0.377229,0.6968,1.131195,0.020512,1
407.03125,0.099451,0.9968,1.41691,0.024966,1
157.03125,0.266118,1.2968,1.702624,0.029421,2
357.03125,0.432785,1.5968,1.988338,0.033875,2
257.03125,0.155007,1.8968,0.034985,0.03833,2
457.03125,0.321674,0.7568,0.3207,0.042784,2
132.03125,0.48834,1.0568,0.606414,0.047239,3
332.03125,0.013032,1.3568,0.892128,0.003098,3
232.03125,0.179698,1.6568,1.177843,0.007553,3
432.03125,0.346365,1.9568,1.463557,0.012008,0
182.03125,0.068587,0.5288,1.749271,0.016462,0
382.03125,0.235254,0.8288,0.075802,0.020917,0
282.03125,0.40192,1.1288,0.361516,0.025371,1
482.03125,0.124143,1.4288,0.64723,0.029826,1
119.53125,0.290809,1.7288,0.932945,0.03428,1
319.53125,0.457476,0.5888,1.218659,0.038735,2
219.53125,0.03155,0.8888,1.504373,0.043189,2
419.53125,0.198217,1.1888,1.790087,0.047644,2
169.53125,0.364883,1.4888,0.116618,0.003503,3
369.53125,0.087106,1.7888,0.402332,0.007958,3
269.53125,0.253772,0.6488,0.688047,0.012412,3
469.53125,0.420439,0.9488,0.973761,0.016867,3
144.53125,0.142661,1.2488,1.259475,0.021322,0
344.53125,0.309328,1.5488,1.54519,0.025776,0
244.53125,0.475995,1.8488,1.830904,0.030231,0
444.53125,0.050069,0.7088,0.157434,0.034685,1
194.53125,0.216735,1.0088,0.443149,0.03914,1
394.53125,0.383402,1.3088,0.728863,0.043594,1
294.53125,0.105624,1.6088,1.014577,0.048049,2
494.53125,0.272291,1.9088,1.300292,0.003908,2
103.90625,0.438957,0.7688,1.586006,0.008363,2
303.90625,0.16118,1.0688,1.87172,0.012817,3
203.90625,0.327846,1.3688,0.198251,0.017272,3
403.90625,0.494513,1.6688,0.483965,0.021727,3
153.90625,0.002743,1.9688,0.769679,0.026181,3
353.90625,0.16941,0.5408,1.055394,0.030636,0
253.90625,0.336077,0.8408,1.341108,0.03509,0
453.90625,0.058299,1.1408,1.626822,0.039545,0
128.90625,0.224966,1.4408,1.912536,0.043999,1
328.90625,0.391632,1.7408,0.239067,0.048454,1
228.90625,0.113855,0.6008,0.524781,0.004313,1
428.90625,0.280521,0.9008,0.810496,0.008768,2
178.90625,0.447188,1.2008,1.09621,0.013222,2
378.90625,0.021262,1.5008,1.381924,0.017677,2
278.90625,0.187929,1.8008,1.667638,0.022131,3
478.90625,0.354595,0.6608,1.953353,0.026586,3
116.40625,0.076818,0.9608,0.279883,0.031041,3
316.40625,0.243484,1.2608,0.565598,0.035495,3
216.40625,0.410151,1.5608,0.851312,0.03995,0
416.40625,0.132373,1.8608,1.137026,0.044404,0
166.40625,0.29904,0.7208,1.422741,0.048859,0
366.40625,0.465706,1.0208,1.708455,0.004718,0
266.40625,0.039781,1.3208,1.994169,0.009173,1
466.40625,0.206447,1.6208,0.000833,0.013627,1
141.40625,0.373114,1.9208,0.286547,0.018082,1
341.40625,0.095336,0.7808,0.572262,0.022536,2
241.40625,0.262003,1.0808,0.857976,0.026991,2
441.40625,0.428669,1.3808,1.14369,0.031446,2
191.40625,0.150892,1.6808,1.429404,0.0359,3
391.40625,0.317558,1.9808,1.715119,0.040355,3
291.40625,0.484225,0.5528,0.041649,0.044809,3
491.40625,0.008916,0.8528,0.327364,0.049264,0
110.15625,0.175583,1.1528,0.613078,0.005123,0
310.15625,0.34225,1.4528,0.898792,0.009578,0
210.15625,0.064472,1.7528,1.184506,0.014032,0
410.15625,0.231139,0.6128,1.470221,0.018487,1
160.15625,0.397805,0.9128,1.755935,0.022941,1
360.15625,0.120027,1.2128,0.082466,0.027396,1
260.15625,0.286694,1.5128,0.36818,0.03185,2
460.15625,0.453361,1.8128,0.653894,0.036305,2
135.15625,0.027435,0.6728,0.939608,0.04076,2
335.15625,0.194102,0.9728,1.225323,0.045214,3
235.15625,0.360768,1.2728,1.511037,0.049669,3
435.15625,0.08299,1.5728,1.796751,0.00111,3
185.15625,0.249657,1.8728,0.123282,0.005565,0
385.15625,0.416324,0.7328,0.408996,0.01002,0
285.15625,0.138546,1.0328,0.694711,0.014474,0
485.15625,0.305213,1.3328,0.980425,0.018929,0
122.65625,0.471879,1.6328,1.266139,0.023383,1
322.65625,0.045953,1.9328,1.551853,0.027838,1
222.65625,0.21262,0.7928,1.837568,0.032292,1
422.65625,0.379287,1.0928,0.164098,0.036747,2
172.65625,0.101509,1.3928,0.449813,0.041201,2
372.65625,0.268176,1.6928,0.735527,0.045656,2
272.65625,0.434842,1.9928,1.021241,0.001515,3
472.65625,0.157064,0.5072,1.306955,0.00597,3
147.65625,0.323731,0.8072,1.59267,0.010424,3
347.65625,0.490398,1.1072,1.878384,0.014879,0
247.65625,0.015089,1.4072,0.204915,0.019334,0
447.65625,0.181756,1.7072,0.490629,0.023788,0
197.65625,0.348422,0.5672,0.776343,0.028243,0
397.65625,0.070645,0.8672,1.062057,0.032697,1
297.65625,0.237311,1.1672,1.347772,0.037152,1
497.65625,0.403978,1.4672,1.633486,0.041606,1
102.34375,0.1262,1.7672,1.9192,0.046061,2
302.34375,0.292867,0.6272,0.245731,0.00192,2
202.34375,0.459534,0.9272,0.531445,0.006375,2
402.34375,0.033608,1.2272,0.81716,0.010829,3
152.34375,0.200274,1.5272,1.102874,0.015284,3
352.34375,0.366941,1.8272,1.388588,0.019739,3
252.34375,0.089163,0.6872,1.674302,0.024193,0
452.34375,0.25583,0.9872,1.960017,0.028648,0
127.34375,0.422497,1.2872,0.006664,0.033102,0
327.34375,0.144719,1.5872,0.292378,0.037557,1
227.34375,0.311385,1.8872,0.578092,0.042011,1
427.34375,0.478052,0.7472,0.863807,0.046466,1
177.34375,0.052126,1.0472,1.149521,0.002325,1
377.34375,0.218793,1.3472,1.435235,0.00678,2
277.34375,0.38546,1.6472,1.72095,0.011234,2
477.34375,0.107682,1.9472,0.04748,0.015689,2
114.84375,0.274348,0.5192,0.333195,0.020144,3
314.84375,0.441015,0.8192,0.618909,0.024598,3
214.84375,0.163237,1.1192,0.904623,0.029053,3
414.84375,0.329904,1.4192,1.190337,0.033507,0
164.84375,0.496571,1.7192,1.476052,0.037962,0
364.84375,0.004801,0.5792,1.761766,0.042416,0
264.84375,0.171468,0.8792,0.088297,0.046871,1
464.84375,0.338134,1.1792,0.374011,0.00273,1
139.84375,0.060357,1.4792,0.659725,0.007185,1
339.84375,0.227023,1.7792,0.945439,0.011639,1
239.84375,0.39369,0.6392,1.231154,0.016094,2
439.84375,0.115912,0.9392,1.516868,0.020548,2
189.84375,0.282579,1.2392,1.802582,0.025003,2
389.84375,0.449246,1.5392,0.129113,0.029458,3
289.84375,0.02332,1.8392,0.414827,0.033912,3
489.84375,0.189986,0.6992,0.700541,0.038367,3
108.59375,0.356653,0.9992,0.986256,0.042821,0
308.59375,0.078875,1.2992,1.27197,0.047276,0
208.59375,0.245542,1.5992,1.557684,0.003135,0
408.59375,0.412209,1.8992,1.843399,0.00759,1
158.59375,0.134431,0.7592,0.169929,0.012044,1
358.59375,0.301097,1.0592,0.455643,0.016499,1
258.59375,0.467764,1.3592,0.741358,0.020953,1
458.59375,0.041838,1.6592,1.027072,0.025408,2
133.59375,0.208505,1.9592,1.312786,0.029863,2
333.59375,0.375171,0.5312,1.598501,0.034317,2
233.59375,0.097394,0.8312,1.884215,0.038772,3
433.59375,0.26406,1.1312,0.210746,0.043226,3
183.59375,0.430727,1.4312,0.49646,0.047681,3
383.59375,0.152949,1.7312,0.782174,0.00354,0
283.59375,0.319616,0.5912,1.067888,0.007995,0
483.59375,0.486283,0.8912,1.353603,0.012449,0
121.09375,0.010974,1.1912,1.639317,0.016904,1
321.09375,0.177641,1.4912,1.925031,0.021358,1
221.09375,0.344307,1.7912,0.251562,0.025813,1
421.09375,0.066529,0.6512,0.537276,0.030267,2
171.09375,0.233196,0.9512,0.82299,0.034722,2
371.09375,0.399863,1.2512,1.108705,0.039177,2
271.09375,0.122085,1.5512,1.394419,0.043631,2
471.09375,0.288752,1.8512,1.680133,0.048086,3
146.09375,0.455418,0.7112,1.965848,0.003945,3
346.09375,0.029492,1.0112,0.012495,0.0084,3
246.09375,0.196159,1.3112,0.298209,0.012854,0
446.09375,0.362826,1.6112,0.583923,0.017309,0
196.09375,0.085048,1.9112,0.869638,0.021763,0
396.09375,0.251715,0.7712,1.155352,0.026218,1
296.09375,0.418381,1.0712,1.441066,0.030672,1
496.09375,0.140604,1.3712,1.726781,0.035127,1
105.46875,0.30727,1.6712,0.053311,0.039582,2
305.46875,0.473937,1.9712,0.339025,0.044036,2
205.46875,0.048011,0.5432,0.62474,0.048491,2
405.46875,0.214678,0.8432,0.910454,0.00435,2
155.46875,0.381344,1.1432,1.196168,0.008805,3
355.46875,0.103567,1.4432,1.481883,0.013259,3
255.46875,0.270233,1.7432,1.767597,0.017714,3
455.46875,0.4369,0.6032,0.094127,0.022168,0
130.46875,0.159122,0.9032,0.379842,0.026623,0
330.46875,0.325789,1.2032,0.665556,0.031077,0
230.46875,0.492455,1.5032,0.95127,0.035532,1
430.46875,0.017147,1.8032,1.236985,0.039986,1
180.46875,0.183813,0.6632,1.522699,0.044441,1
380.46875,0.35048,0.9632,1.808413,0.048896,2
280.46875,0.072702,1.2632,0.134944,0.004755,2
480.46875,0.239369,1.5632,0.420658,0.00921,2
117.96875,0.406036,1.8632,0.706372,0.013664,2
317.96875,0.128258,0.7232,0.992087,0.018119,3
217.96875,0.294925,1.0232,1.277801,0.022573,3
417.96875,0.461591,1.3232,1.563515,0.027028,3
167.96875,0.035665,1.6232,1.849229,0.031482,0
367.96875,0.202332,1.9232,0.17576,0.035937,0
267.96875,0.368999,0.7832,0.461474,0.040391,0
467.96875,0.091221,1.0832,0.747189,0.044846,1
142.96875,0.257888,1.3832,1.032903,0.049301,1
342.96875,0.424554,1.6832,1.318617,0.00516,1
242.96875,0.146776,1.9832,1.604332,0.009615,2
442.96875,0.313443,0.5552,1.890046,0.014069,2
192.96875,0.48011,0.8552,0.216576,0.018524,2
392.96875,0.054184,1.1552,0.502291,0.022978,3
292.96875,0.22085,1.4552,0.788005,0.027433,3
492.96875,0.387517,1.7552,1.073719,0.031887,3
111.71875,0.109739,0.6152,1.359434,0.036342,3
311.71875,0.276406,0.9152,1.645148,0.040796,0
211.71875,0.443073,1.2152,1.930862,0.045251,0
411.71875,0.165295,1.5152,0.257393,0.049705,0
161.71875,0.331962,1.8152,0.543107,0.001147,1
361.71875,0.498628,0.6752,0.828821,0.005602,1
261.71875,0.001372,0.9752,1.114536,0.010056,1
461.71875,0.168038,1.2752,1.40025,0.014511,2
136.71875,0.334705,1.5752,1.685964,0.018965,2
336.71875,0.056927,1.8752,1.971678,0.02342,2
236.71875,0.223594,0.7352,0.018326,0.027875,3
436.71875,0.390261,1.0352,0.30404,0.032329,3
186.71875,0.112483,1.3352,0.589754,0.036784,3
386.71875,0.27915,1.6352,0.875469,0.041238,3
286.71875,0.445816,1.9352,1.161183,0.045693,0
486.71875,0.01989,0.7952,1.446897,0.001552,0
124.21875,0.186557,1.0952,1.732611,0.006007,0
324.21875,0.353224,1.3952,0.059142,0.010461,1
224.21875,0.075446,1.6952,0.344856,0.014916,1
424.21875,0.242112,1.9952,0.630571,0.01937,1
174.21875,0.408779,0.5096,0.916285,0.023825,2
374.21875,0.131001,0.8096,1.201999,0.028279,2
274.21875,0.297668,1.1096,1.487713,0.032734,2
474.21875,0.464335,1.4096,1.773428,0.037189,3
149.21875,0.038409,1.7096,0.099958,0.041643,3
349.21875,0.205075,0.5696,0.385673,0.046098,3
249.21875,0.371742,0.8696,0.671387,0.001957,3
449.21875,0.093964,1.1696,0.957101,0.006412,0
199.21875,0.260631,1.4696,1.242815,0.010866,0
399.21875,0.427298,1.7696,1.52853,0.015321,0
299.21875,0.14952,0.6296,1.814244,0.019775,0
499.21875,0.316187,0.9296,0.140775,0.02423,1
100.390625,0.482853,1.2296,0.426489,0.028684,1
300.390625,0.007545,1.5296,0.712203,0.033139,1
200.390625,0.174211,1.8296,0.997918,0.037594,2
400.390625,0.340878,0.6896,1.283632,0.042048,2
150.390625,0.0631,0.9896,1.569346,0.046503,2
350.390625,0.229767,1.2896,1.85506,0.002362,3
250.390625,0.396433,1.5896,0.181591,0.006817,3
450.390625,0.118656,1.8896,0.467305,0.011271,3
125.390625,0.285322,0.7496,0.75302,0.015726,0
325.390625,0.451989,1.0496,1.038734,0.02018,0
225.390625,0.026063,1.3496,1.324448,0.024635,0
425.390625,0.19273,1.6496,1.610162,0.029089,0
175.390625,0.359396,1.9496,1.895877,0.033544,1
375.390625,0.081619,0.5216,0.222407,0.037998,1
275.390625,0.248285,0.8216,0.508122,0.042453,1
